workload,machines,thresTemp,envTemp,acPower
6400,18,22,25,2927.8673782501
6400,19,22,25,3025.5413161186
6400,20,22,25,3121.3430748794
6400,21,22,25,3219.0092443699
6400,22,22,25,3316.7142557506
6400,23,22,25,3413.1840950228
6400,24,22,25,3509.6228607829
6400,25,22,25,3606.2946778842
6400,26,22,25,3704.6833065324
6400,27,22,25,3821.8568448666
6400,28,22,25,3908.2734313703
6400,29,22,25,4176.75846559
6400,30,22,25,4279.9790253793
6400,31,22,25,4383.1607432784
6400,32,22,25,4489.0070148454
6400,33,22,25,4594.7600658759
6400,34,22,25,4700.5519587965
6400,35,22,25,4970.3032386368
6400,36,22,25,5240.4507057572
6400,37,22,25,5336.9671552977
6400,38,22,25,5434.9829017999
6400,39,22,25,5547.0686461971
6400,40,22,25,5801.5691346804
6400,41,22,25,6086.0367092808
6400,42,22,25,6338.7023390586
6400,43,22,25,6623.1953825003
6400,44,22,25,6703.7038228188
6400,45,22,25,6991.0615350579
6400,46,22,25,7246.5157115446
6400,47,22,25,7532.6923247104
6400,48,22,25,7793.110800376
6400,49,22,25,8070.4517855617
6400,50,22,25,8167.7217677721
6400,51,22,25,8265.5355364454
6400,52,22,25,8363.5046726794
6400,53,22,25,8461.3184413526
6400,54,22,25,8560.7635694143
6400,55,22,25,8664.7920405199
6400,56,22,25,8767.1114684565
6400,57,22,25,8869.974682856
6400,58,22,25,8972.9155810358
6400,59,22,25,9204.3454520031
6400,60,22,25,9319.2496523651
6400,61,22,25,9434.1538527271
6400,62,22,25,9547.3490099202
6400,63,22,25,9779.0119322287
6400,64,22,25,10010.9855896587
6400,65,22,25,10117.9660444196
6400,66,22,25,10220.9069425995
6400,67,22,25,10323.8478407793
6400,68,22,25,10554.8116090641
6400,69,22,25,10668.7836040613
6400,70,22,25,10781.512658572
6400,71,22,25,10887.2501728464
6400,72,22,25,11002.1543732084
6400,73,22,25,11099.65740676
6400,74,22,25,11195.6067647036
6400,75,22,25,11291.711490208
6400,76,22,25,11407.5478959348
6400,77,22,25,11523.6950367833
6400,78,22,25,11638.5992371453
6400,79,22,25,11908.3272118514
6400,80,22,25,12178.0551865576
6400,81,22,25,12448.016212605
