workload,machines,responseTime
1280,123,25.7455
1280,124,25.7455
1280,125,25.7455
1280,126,25.7455
1280,127,25.7455
1280,128,25.7455
1280,129,24.0623
1280,130,24.0623
1280,131,24.0623
1280,132,24.0623
1280,133,24.0623
1280,134,25.7455
1280,135,24.0623
1280,136,24.0623
1280,137,24.0623
1280,138,24.0623
1280,139,24.0623
1280,140,24.0623
1280,141,24.0623
1280,142,24.0623
1280,143,24.0623
1280,144,24.0623
1280,145,24.0623
1280,146,24.0623
1280,147,24.0623
1280,148,25.7455
1280,149,25.7455
1280,150,25.7455
1280,151,25.7455
1280,152,25.7455
1280,153,25.7455
1280,154,25.7455
1280,155,25.7455
1280,156,25.7455
1280,157,25.7455
1280,158,25.7455
1280,159,25.7455
1280,160,25.7455
1280,161,25.7455
1280,162,25.7455
1280,163,25.7455
1280,164,24.0623
1280,165,24.0623
1280,166,24.0623
1280,167,24.0623
1280,168,24.0623
1280,169,24.0623
1280,170,24.0623
1280,171,24.0623
1280,172,24.0623
1280,173,24.0623
1280,174,24.0623
1280,175,24.0623
1280,176,24.0623
1280,177,24.0623
1280,178,24.0623
1280,179,24.0623
1280,180,24.0623
1280,181,24.0623
1280,182,24.0623
1280,183,24.0623
1280,184,24.0623
1280,185,24.0623
1280,186,24.0623
1280,187,24.0623
1280,188,24.0623
1280,189,24.0623
1280,190,24.0623
1280,191,24.0623
1280,192,24.0623
1280,193,24.0623
1280,194,24.0623
1280,195,24.0623
1280,196,24.0623
1280,197,24.0623
1280,198,24.0623
1280,199,24.0623
1280,200,24.0623
1280,201,24.0623
1280,202,24.0623
1280,203,24.0623
1280,204,24.0623
1280,205,24.0623
1280,206,24.0623
1280,207,24.0623
1280,208,24.0623
1280,209,24.0623
1280,210,24.0623
6400,2,384.964
6400,3,294.384
6400,4,233
6400,5,203.805
6400,6,181
6400,7,161
6400,8,144.529
6400,9,134.558
6400,10,129.723
6400,11,128.727
6400,12,128.727
6400,13,128.727
6400,14,129
6400,15,128.727
6400,16,127
6400,17,128.727
6400,18,128.727
6400,19,128.727
6400,20,128.727
6400,21,129
6400,22,128.727
6400,23,128.727
6400,24,128.727
6400,25,128.727
6400,26,128.727
6400,27,127
6400,28,129
6400,29,128.727
6400,30,128.727
6400,31,128.727
6400,32,128.727
6400,33,128.727
6400,34,128.727
6400,35,128.727
6400,36,128.727
6400,37,128.727
6400,38,128.727
6400,39,126.562
6400,40,128.727
6400,41,126.562
6400,42,128.727
6400,43,126.562
6400,44,128.727
6400,45,126.562
6400,46,128.727
6400,47,126.562
6400,48,128.727
6400,49,128.727
6400,50,128.727
6400,51,128.727
6400,52,128.727
6400,53,128.727
6400,54,128.727
6400,55,128.727
6400,56,128.727
6400,57,128.727
6400,58,128.727
6400,59,128.727
6400,60,128.727
6400,61,128.727
6400,62,128.727
6400,63,128.727
6400,64,128.727
6400,65,128.727
6400,66,128.727
6400,67,128.727
6400,68,128.727
6400,69,128.727
6400,70,128.727
6400,71,128.727
6400,72,128.727
6400,73,128.727
6400,74,128.727
6400,75,128.727
6400,76,128.727
6400,77,128.727
6400,78,128.727
6400,79,128.727
6400,80,128.727
6400,81,128.727
6400,82,128.727
6400,83,128.727
6400,84,128.727
6400,85,128.727
6400,86,128.727
6400,87,128.727
6400,88,128.727
6400,89,128.727
6400,90,128.727
6400,91,128.727
6400,92,128.727
6400,93,128.727
6400,94,128.727
6400,95,128.727
6400,96,126.562
6400,97,128.727
6400,98,120.068
6400,99,122.233
6400,100,124.398
6400,101,126.562
6400,102,128.727
6400,103,128.727
6400,104,128.727
6400,105,120.068
6400,106,122.233
6400,107,122.233
6400,108,124.398
6400,109,124.398
6400,110,124.398
6400,111,126.562
6400,112,128.727
6400,113,128.727
6400,114,128.727
6400,115,116.741
6400,116,116.741
6400,117,116.741
6400,118,116.741
6400,119,116.741
6400,120,116.741
6400,121,116.741
6400,122,116.741
6400,123,116.741
6400,124,116.741
6400,125,116.741
6400,126,116.741
6400,127,116.741
6400,128,116.741
6400,129,116.741
6400,130,116.741
6400,131,116.741
6400,132,116.741
6400,133,116.741
6400,134,116.741
6400,135,116.741
6400,136,116.741
6400,137,116.741
6400,138,116.741
6400,139,116.741
6400,140,116.741
6400,141,116.741
6400,142,116.741
6400,143,116.741
6400,144,116.741
6400,145,116.741
6400,146,116.741
6400,147,116.741
6400,148,116.741
6400,149,116.741
6400,150,116.741
6400,151,116.741
6400,152,116.741
6400,153,116.741
6400,154,116.741
6400,155,116.741
6400,156,116.741
6400,157,116.741
6400,158,116.741
6400,159,116.741
6400,160,116.741
6400,161,116.741
6400,162,116.741
6400,163,116.741
6400,164,116.741
6400,165,116.741
6400,166,116.741
6400,167,116.741
6400,168,116.741
6400,169,116.741
