workload,machines,cpuPower
64000,150,25409.0464090293
64000,151,25468.662091092
64000,152,25572.8162569741
64000,153,25669.3515674934
64000,154,25782.6161221952
64000,155,25836.0803744427
64000,156,25913.4935949723
64000,157,26020.4523204515
64000,158,26099.7898576707
64000,159,26166.0115087424
64000,160,26240.2739906935
64000,161,26341.5987347387
64000,162,26451.6054279423
64000,163,26554.3812202846
64000,164,26653.4190069333
64000,165,26726.5886333093
64000,166,26999.3505541958
64000,167,27068.3407909763
64000,168,27325.5776548311
64000,169,27566.5488168328
64000,170,27791.4143885898
64000,171,28035.3132210026
64000,172,28155.2287398914
64000,173,28273.0467967093
64000,174,28402.1755336119
64000,175,28505.4201915682
64000,176,28728.8570003274
64000,177,28904.3476116122
64000,178,29100.1601839552
64000,179,29309.7027102738
64000,180,29413.4023942141
64000,181,29528.5015187179
64000,182,29730.6064772736
64000,183,29866.9132738276
64000,184,30014.6013181751
64000,185,30152.4684657344
64000,186,30273.6585176381
64000,187,30408.5670061448
64000,188,30547.5150512325
64000,189,30698.8791231879
64000,190,30873.4962185498
64000,191,30962.3965652746
64000,192,31132.9707391594
64000,193,31177.1009556176
64000,194,31255.9304650964
64000,195,31327.1071725434
64000,196,31500.2978937125
64000,197,31584.6834971993
64000,198,31661.9925357985
64000,199,31753.2088016587
64000,200,31809.9260450411
64000,201,31951.1040928184
64000,202,32011.2709417871
64000,203,32851.148568198
64000,204,32915.4977485752
64000,205,32980.8185068528
64000,206,33048.8457460794
64000,207,33166.5346133045
64000,208,33284.2550665578
64000,209,33417.2788586797
64000,210,33545.9478470582
